price,year,manufacturer,model,condition,fuel,title_status,transmission,drive,type,paint_color
24995,2014,jeep,wrangler unlimited sport,like new,gas,clean,automatic,4wd,offroad,black
3400,2018,mitsubishi,outlander se,good,gas,clean,automatic,fwd,SUV,black
17885,2014,ford,mustang,good,gas,clean,automatic,rwd,convertible,black
2950,2004,mercury,sable,good,gas,clean,automatic,fwd,sedan,custom
34990,2018,bmw,4 series 430i convertible 2d,good,gas,clean,other,rwd,other,black
12498,2011,bmw,328i m3 coupe,excellent,gas,clean,automatic,rwd,coupe,white
26990,2003,chevrolet,corvette z06,excellent,gas,clean,manual,rwd,coupe,yellow
16590,2017,toyota,corolla im hatchback 4d,good,gas,clean,other,fwd,hatchback,silver
2400,2001,ford,windstar van,fair,gas,clean,automatic,fwd,van,silver
12900,2012,acura,tl,good,gas,clean,automatic,fwd,sedan,silver
20000,2002,ford,thunderbird convertible,like new,gas,clean,automatic,rwd,convertible,yellow
33990,2017,ford,mustang gt coupe 2d,good,gas,clean,other,rwd,coupe,black
23990,2019,acura,ilx premium pkg sedan 4d,good,gas,clean,other,fwd,sedan,black
9350,2013,volvo,s60 t5,excellent,gas,clean,automatic,4wd,sedan,blue
3200,2001,volvo,s40,good,gas,clean,automatic,fwd,sedan,silver
18800,2007,ford,f350 super duty,excellent,diesel,clean,automatic,4wd,truck,white
5495,2011,jeep,compass sport,excellent,gas,clean,automatic,fwd,SUV,black
20800,2020,kia,rio s,excellent,gas,clean,automatic,fwd,sedan,white
33990,2007,chevrolet,cc4500,good,gas,clean,automatic,rwd,truck,white
21995,2016,ram,promaster city cargo van,excellent,gas,clean,automatic,fwd,van,white
22800,2013,rover,evoque,excellent,gas,clean,automatic,4wd,hatchback,black
32990,2018,toyota,sienna xle minivan 4d,good,gas,clean,other,fwd,van,blue
14990,2016,kia,soul wagon 4d,good,gas,clean,other,fwd,wagon,black
5950,2013,chevrolet,sonic lt,excellent,gas,clean,manual,fwd,hatchback,blue
6995,2007,jeep,patriot,excellent,gas,clean,automatic,fwd,SUV,custom
7995,2009,chevrolet,silverado 1500,good,gas,clean,automatic,rwd,truck,red
21995,2011,ram,3500,good,gas,clean,automatic,rwd,truck,white
2000,2007,toyota,camry,good,gas,salvage,automatic,fwd,sedan,silver
29990,2012,toyota,tacoma double cab pickup,good,gas,clean,other,4wd,pickup,white
30590,2015,bmw,z4 sdrive28i roadster 2d,good,gas,clean,other,rwd,other,black
15995,2010,ford,explorer sport trac,good,gas,clean,automatic,4wd,wagon,custom
8999,2011,ford,flex,good,gas,clean,automatic,fwd,SUV,black
41900,2019,ram,1500 crew cab,excellent,gas,clean,automatic,4wd,truck,red
16900,2014,bmw,3 series,excellent,gas,clean,automatic,rwd,sedan,blue
9500,2012,toyota,camry,excellent,gas,clean,automatic,fwd,sedan,silver
21590,2017,buick,regal premium ii sedan 4d,good,gas,clean,other,fwd,sedan,white
11990,2007,chevrolet,avalanche,good,gas,clean,automatic,4wd,SUV,black
5700,2003,chevrolet,silverado 2500hd,good,gas,clean,automatic,4wd,truck,white
2695,2006,chevrolet,hhr lt,excellent,gas,clean,automatic,fwd,sedan,red
5500,2012,subaru,legacy,good,gas,clean,automatic,4wd,sedan,red
7995,2006,chevrolet,silverado 1500 work tr,excellent,gas,clean,automatic,4wd,pickup,brown
13500,2016,mitsubishi,outlander,excellent,gas,clean,automatic,fwd,SUV,white
16996,2009,ford,super duty f-350 srw,good,gas,rebuilt,automatic,4wd,truck,green
23900,2016,rover,discovery sport,excellent,gas,clean,automatic,4wd,SUV,black
3800,2000,chevrolet,silverado 1500,good,gas,clean,automatic,rwd,truck,grey
26495,2017,ford,transit 250 cargo van,excellent,gas,clean,automatic,rwd,van,white
32990,2017,jeep,wrangler unlimited sport,good,gas,clean,other,4wd,other,silver
5900,2010,subaru,impreza,good,gas,clean,automatic,4wd,wagon,grey
4999,2004,jaguar,xj,good,gas,clean,automatic,rwd,other,grey
4700,2008,chrysler,town and country,good,gas,clean,automatic,fwd,van,black
18990,2018,hyundai,sonata sel sedan 4d,good,gas,clean,other,fwd,sedan,white
6995,2007,pontiac,soltice,excellent,gas,clean,automatic,fwd,convertible,silver
17999,2013,bmw,328i sulev,like new,gas,clean,automatic,rwd,sedan,custom
6800,2006,lincoln,navigator,excellent,gas,clean,automatic,rwd,SUV,grey
5990,2002,mazda,tribute,good,gas,clean,automatic,4wd,SUV,grey
19924,2017,mazda,cx-3,like new,gas,clean,automatic,4wd,SUV,blue
14500,2014,honda,odyssey,excellent,gas,clean,automatic,fwd,mini-van,silver
15000,2005,gmc,sierra,good,gas,clean,automatic,4wd,truck,grey
18500,2011,chevrolet,silverado 1500,excellent,gas,clean,automatic,4wd,pickup,white
19000,2012,chevrolet,tahoe lt 4wd,like new,gas,clean,automatic,4wd,SUV,black
56988,2019,ford,f350 crew cab 4x4 flat bed,like new,gas,clean,automatic,4wd,truck,white
4000,2008,chrysler,aspen,fair,gas,rebuilt,automatic,4wd,SUV,white
7950,2010,ford,explorer xlt,good,gas,clean,automatic,4wd,SUV,silver
4500,2010,honda,civic,good,gas,clean,automatic,fwd,coupe,black
6995,2007,jeep,patriot,excellent,gas,clean,automatic,fwd,SUV,custom
12900,2012,acura,tl,good,gas,clean,automatic,fwd,sedan,silver
26990,2014,lexus,ls 460 sedan 4d,good,other,clean,automatic,rwd,sedan,red
27590,2017,cadillac,xt5 luxury sport,good,other,clean,other,fwd,SUV,silver
5500,2005,infiniti,g35,good,gas,clean,automatic,fwd,coupe,black
32990,2015,ford,f150 supercrew cab xlt,good,gas,clean,other,4wd,pickup,blue
24477,2017,mini,convertible cooper s,good,gas,clean,automatic,fwd,other,red
9995,2015,subaru,impreza hatchback,excellent,gas,rebuilt,automatic,4wd,hatchback,black
2650,2004,honda,accord lx 4dr 5 speed,good,gas,clean,manual,fwd,sedan,blue
10491,2006,toyota,sequoia sr5,like new,gas,clean,automatic,rwd,SUV,black
13200,2015,buick,enclave,excellent,gas,clean,automatic,4wd,SUV,grey
20499,2014,ford,mustang,good,gas,clean,automatic,rwd,convertible,black
12000,2006,toyota,tacoma,excellent,gas,clean,automatic,rwd,truck,blue
9995,2017,hyundai,veloster,good,gas,clean,automatic,fwd,coupe,silver
13900,2009,bmw,328i xdrive luxury,excellent,gas,clean,automatic,4wd,sedan,black
